customer_id,segment,country,industry,vehicle_count,mrr,arr,products,product_count,legacy_system,contract_start_date,tenure_months,renewal_date,months_to_renewal,adoption_score,engagement_score,support_score,relationship_score,health_score,health_tier,gps_adoption_pct,logbook_completion_pct,days_since_last_login,mobile_dau_mau,open_support_tickets,csat_score,qbr_completed_this_quarter,nps_score,onboarding_completion_score,expansion_mrr_3m,renewal_in_90d,churn_risk_flag,at_risk_arr
CUST-0001,Mid-Market,DE,Gesundheitswesen,60,1124.33,13491.96,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2022-08-18,28,2025-08-28,8,100.0,100.0,92.5,96.0,97.9,Green,96.0,88.1,1,0.702,0,4.6,1,9.0,100.0,139.24,False,False,0.0
CUST-0002,SMB,AT,Außendienst & Vertrieb,2,37.68,452.16,GPS Tracking,1,Vimcar,2022-07-08,30,2025-06-29,6,57.7,49.4,38.8,36.0,48.2,Amber,61.5,,13,0.133,2,2.3,0,6.0,39.1,0.0,False,False,0.0
CUST-0003,SMB,DE,Außendienst & Vertrieb,7,129.52,1554.24,GPS Tracking|Digital Logbook,2,Vimcar,2022-10-17,26,2025-10-27,10,78.7,91.3,78.2,36.0,76.0,Green,59.3,88.9,4,0.536,0,3.7,0,6.0,81.2,0.0,False,False,0.0
CUST-0004,SMB,DE,Außendienst & Vertrieb,12,256.5,3078.0,GPS Tracking|Digital Logbook,2,Vimcar,2022-10-17,26,2025-10-27,10,73.0,93.4,62.2,32.0,70.8,Green,66.6,64.3,2,0.465,1,2.9,0,,73.7,0.0,False,False,0.0
CUST-0005,Mid-Market,CH,Logistik & Transport,37,771.24,9254.88,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-03-14,34,2025-03-01,2,100.0,100.0,94.0,32.0,88.6,Green,98.4,100.0,1,0.624,0,4.2,0,,100.0,73.31,True,False,0.0
CUST-0006,Mid-Market,CH,Logistik & Transport,43,712.49,8549.88,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2024-06-14,6,2025-06-29,6,91.5,100.0,94.8,48.0,88.2,Green,97.1,84.5,3,0.462,0,4.9,0,9.0,100.0,0.0,False,False,0.0
CUST-0007,Enterprise,DE,Logistik & Transport,96,1698.98,20387.76,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,New Logo,2023-08-21,16,2025-08-28,8,100.0,100.0,100.0,100.0,100.0,Green,97.6,97.3,1,0.466,0,5.0,1,10.0,100.0,0.0,False,False,0.0
CUST-0008,SMB,DE,Logistik & Transport,6,136.41,1636.92,GPS Tracking|Digital Logbook,2,New Logo,2024-04-11,8,2025-04-30,4,87.4,51.7,80.5,36.0,67.6,Amber,70.4,62.7,20,0.19,0,4.0,0,6.0,68.4,0.0,False,False,0.0
CUST-0009,SMB,DE,Kommunaler Betrieb,16,399.91,4798.92,GPS Tracking|Digital Logbook,2,Vimcar,2022-11-07,26,2025-10-27,10,95.3,50.7,88.0,36.0,71.6,Green,79.2,89.3,13,0.018,0,4.0,0,6.0,84.6,0.0,False,False,0.0
CUST-0010,SMB,CH,Logistik & Transport,5,128.89,1546.68,GPS Tracking|Digital Logbook,2,New Logo,2024-01-01,12,2025-12-26,12,82.7,45.5,44.5,40.0,57.5,Amber,80.1,68.7,28,0.13,3,3.2,0,7.0,64.5,0.0,False,False,0.0
CUST-0011,SMB,CH,Baugewerbe,20,365.14,4381.68,GPS Tracking|Digital Logbook,2,New Logo,2023-03-04,22,2025-03-01,2,74.9,30.4,55.8,20.0,49.5,Amber,61.2,53.9,62,0.149,0,1.9,0,2.0,61.4,0.0,True,True,4381.68
CUST-0012,SMB,CH,Facility Management,14,383.81,4605.72,GPS Tracking|Digital Logbook,2,Vimcar,2023-10-22,14,2025-10-27,10,65.8,43.9,50.8,32.0,51.2,Amber,58.6,56.7,20,0.157,2,3.9,0,,48.8,0.0,False,False,0.0
CUST-0013,SMB,DE,Kommunaler Betrieb,5,124.86,1498.32,GPS Tracking|Digital Logbook,2,New Logo,2023-03-25,21,2025-03-31,3,83.8,41.8,85.8,36.0,64.4,Amber,73.6,72.0,65,0.278,0,4.7,0,6.0,62.1,0.0,True,True,1498.32
CUST-0014,SMB,DE,Außendienst & Vertrieb,5,129.81,1557.72,GPS Tracking|Digital Logbook,2,New Logo,2024-09-08,3,2025-09-27,9,62.3,20.7,57.5,32.0,44.3,Amber,52.7,57.4,120,0.063,2,3.6,0,,52.6,0.0,False,False,0.0
CUST-0015,Mid-Market,AT,Handwerk & Baugewerbe,63,1108.42,13301.04,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2021-12-31,36,2025-12-26,12,100.0,100.0,91.8,100.0,98.4,Green,88.4,94.6,1,0.501,0,4.5,1,10.0,100.0,203.51,False,False,0.0
CUST-0016,SMB,AT,Facility Management,15,393.35,4720.2,GPS Tracking|Digital Logbook,2,New Logo,2024-04-29,8,2025-04-30,4,65.0,65.1,73.8,36.0,62.4,Amber,58.0,69.4,23,0.327,0,3.1,0,6.0,74.0,0.0,False,False,0.0
CUST-0017,SMB,DE,Kommunaler Betrieb,16,401.17,4814.04,GPS Tracking|Digital Logbook,2,Vimcar,2022-06-24,30,2025-06-29,6,75.0,68.0,79.8,44.0,69.2,Amber,69.1,79.8,33,0.416,0,3.9,0,8.0,100.0,0.0,False,False,0.0
CUST-0018,Mid-Market,CH,Baugewerbe,62,1047.22,12566.64,GPS Tracking|Digital Logbook|Fleet Analytics,3,Optimum Automotive,2021-10-26,38,2025-10-27,10,97.8,88.0,94.0,100.0,94.4,Green,89.1,77.4,8,0.58,0,4.8,1,10.0,100.0,0.0,False,False,0.0
CUST-0019,Mid-Market,AT,Logistik & Transport,48,997.45,11969.4,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2021-07-07,42,2025-06-29,6,100.0,96.0,91.8,80.0,94.2,Green,91.1,100.0,4,0.623,0,4.5,1,,100.0,0.0,False,False,0.0
CUST-0020,SMB,DE,Außendienst & Vertrieb,4,83.16,997.92,GPS Tracking,1,Vimcar,2022-05-23,31,2025-05-30,5,79.1,31.6,51.8,32.0,52.3,Amber,66.6,,40,0.093,1,2.7,0,,61.7,0.0,False,False,0.0
CUST-0021,Mid-Market,AT,Außendienst & Vertrieb,57,1098.52,13182.24,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-09-17,27,2025-09-27,9,100.0,100.0,93.2,80.0,95.6,Green,98.8,94.1,2,0.559,0,4.7,1,,100.0,0.0,False,False,0.0
CUST-0022,Mid-Market,DE,Facility Management,75,1295.63,15547.56,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-02-07,35,2025-01-30,1,100.0,88.0,91.8,100.0,94.8,Green,93.5,88.2,13,0.465,0,4.5,1,10.0,100.0,88.83,True,False,0.0
CUST-0023,SMB,AT,Logistik & Transport,12,249.56,2994.72,GPS Tracking|Digital Logbook,2,New Logo,2023-05-16,19,2025-05-30,5,99.3,98.0,82.5,32.0,85.5,Green,90.3,82.7,1,0.576,1,4.6,0,,92.0,0.0,False,False,0.0
CUST-0024,SMB,CH,Facility Management,4,81.65,979.8,GPS Tracking,1,Avrios,2022-08-22,28,2025-08-28,8,49.5,12.4,8.8,16.0,25.2,Red,52.8,,107,0.0,8,1.5,0,1.0,41.4,0.0,False,False,0.0
CUST-0025,Enterprise,DE,Facility Management,324,5143.64,61723.68,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2022-01-01,36,2025-12-26,12,100.0,97.5,95.5,96.0,97.8,Green,93.1,84.9,2,0.371,0,5.0,1,9.0,100.0,0.0,False,False,0.0
CUST-0026,SMB,DE,Kommunaler Betrieb,9,198.4,2380.8,GPS Tracking|Digital Logbook,2,New Logo,2023-07-22,17,2025-07-29,7,73.6,71.6,41.5,40.0,61.5,Amber,72.6,53.3,19,0.348,3,4.0,0,7.0,92.6,0.0,False,False,0.0
CUST-0027,SMB,DE,Gesundheitswesen,13,295.52,3546.24,GPS Tracking|Digital Logbook,2,Avrios,2022-12-28,24,2025-12-26,12,63.9,89.8,75.2,32.0,69.1,Amber,66.3,62.2,1,0.33,0,3.3,0,,83.9,0.0,False,False,0.0
CUST-0028,SMB,DE,Facility Management,19,404.85,4858.2,GPS Tracking|Digital Logbook,2,Vimcar,2022-05-17,31,2025-05-30,5,85.3,95.4,73.8,32.0,78.0,Green,74.9,45.8,6,0.407,0,3.1,0,,97.5,0.0,False,False,0.0
