customer_id,archetype,gps_adoption_pct,logbook_completion_pct,reports_generated_30d,days_since_last_login,mobile_dau_mau,open_support_tickets,avg_ticket_resolution_days,csat_score,qbr_completed_this_quarter,nps_score,onboarding_completion_score,expansion_mrr_3m,as_of_date
CUST-0001,champion,96.0,88.1,10,1,0.702,0,2.0,4.6,1,9.0,100.0,139.24,2024-12-31
CUST-0002,struggling,61.5,,0,13,0.133,2,11.6,2.3,0,6.0,39.1,0.0,2024-12-31
CUST-0003,drifting,59.3,88.9,4,4,0.536,0,3.3,3.7,0,6.0,81.2,0.0,2024-12-31
CUST-0004,drifting,66.6,64.3,3,2,0.465,1,5.0,2.9,0,,73.7,0.0,2024-12-31
CUST-0005,champion,98.4,100.0,11,1,0.624,0,1.0,4.2,0,,100.0,73.31,2024-12-31
CUST-0006,champion,97.1,84.5,6,3,0.462,0,1.3,4.9,0,9.0,100.0,0.0,2024-12-31
CUST-0007,champion,97.6,97.3,13,1,0.466,0,0.8,5.0,1,10.0,100.0,0.0,2024-12-31
CUST-0008,drifting,70.4,62.7,7,20,0.19,0,6.5,4.0,0,6.0,68.4,0.0,2024-12-31
CUST-0009,drifting,79.2,89.3,5,13,0.018,0,2.9,4.0,0,6.0,84.6,0.0,2024-12-31
CUST-0010,drifting,80.1,68.7,3,28,0.13,3,4.2,3.2,0,7.0,64.5,0.0,2024-12-31
CUST-0011,struggling,61.2,53.9,5,62,0.149,0,7.9,1.9,0,2.0,61.4,0.0,2024-12-31
CUST-0012,struggling,58.6,56.7,3,20,0.157,2,8.2,3.9,0,,48.8,0.0,2024-12-31
CUST-0013,drifting,73.6,72.0,4,65,0.278,0,5.1,4.7,0,6.0,62.1,0.0,2024-12-31
CUST-0014,struggling,52.7,57.4,3,120,0.063,2,5.9,3.6,0,,52.6,0.0,2024-12-31
CUST-0015,champion,88.4,94.6,13,1,0.501,0,1.5,4.5,1,10.0,100.0,203.51,2024-12-31
CUST-0016,drifting,58.0,69.4,2,23,0.327,0,4.8,3.1,0,6.0,74.0,0.0,2024-12-31
