customer_id,segment,country,industry,vehicle_count,mrr,arr,products,product_count,legacy_system,contract_start_date,tenure_months,renewal_date,months_to_renewal
CUST-0001,Mid-Market,DE,Gesundheitswesen,60,1124.33,13491.96,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2022-08-18,28,2025-08-28,8
CUST-0002,SMB,AT,Außendienst & Vertrieb,2,37.68,452.16,GPS Tracking,1,Vimcar,2022-07-08,30,2025-06-29,6
CUST-0003,SMB,DE,Außendienst & Vertrieb,7,129.52,1554.24,GPS Tracking|Digital Logbook,2,Vimcar,2022-10-17,26,2025-10-27,10
CUST-0004,SMB,DE,Außendienst & Vertrieb,12,256.5,3078.0,GPS Tracking|Digital Logbook,2,Vimcar,2022-10-17,26,2025-10-27,10
CUST-0005,Mid-Market,CH,Logistik & Transport,37,771.24,9254.88,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-03-14,34,2025-03-01,2
CUST-0006,Mid-Market,CH,Logistik & Transport,43,712.49,8549.88,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2024-06-14,6,2025-06-29,6
CUST-0007,Enterprise,DE,Logistik & Transport,96,1698.98,20387.76,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,New Logo,2023-08-21,16,2025-08-28,8
CUST-0008,SMB,DE,Logistik & Transport,6,136.41,1636.92,GPS Tracking|Digital Logbook,2,New Logo,2024-04-11,8,2025-04-30,4
CUST-0009,SMB,DE,Kommunaler Betrieb,16,399.91,4798.92,GPS Tracking|Digital Logbook,2,Vimcar,2022-11-07,26,2025-10-27,10
CUST-0010,SMB,CH,Logistik & Transport,5,128.89,1546.68,GPS Tracking|Digital Logbook,2,New Logo,2024-01-01,12,2025-12-26,12
CUST-0011,SMB,CH,Baugewerbe,20,365.14,4381.68,GPS Tracking|Digital Logbook,2,New Logo,2023-03-04,22,2025-03-01,2
CUST-0012,SMB,CH,Facility Management,14,383.81,4605.72,GPS Tracking|Digital Logbook,2,Vimcar,2023-10-22,14,2025-10-27,10
CUST-0013,SMB,DE,Kommunaler Betrieb,5,124.86,1498.32,GPS Tracking|Digital Logbook,2,New Logo,2023-03-25,21,2025-03-31,3
CUST-0014,SMB,DE,Außendienst & Vertrieb,5,129.81,1557.72,GPS Tracking|Digital Logbook,2,New Logo,2024-09-08,3,2025-09-27,9
CUST-0015,Mid-Market,AT,Handwerk & Baugewerbe,63,1108.42,13301.04,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2021-12-31,36,2025-12-26,12
CUST-0016,SMB,AT,Facility Management,15,393.35,4720.2,GPS Tracking|Digital Logbook,2,New Logo,2024-04-29,8,2025-04-30,4
CUST-0017,SMB,DE,Kommunaler Betrieb,16,401.17,4814.04,GPS Tracking|Digital Logbook,2,Vimcar,2022-06-24,30,2025-06-29,6
CUST-0018,Mid-Market,CH,Baugewerbe,62,1047.22,12566.64,GPS Tracking|Digital Logbook|Fleet Analytics,3,Optimum Automotive,2021-10-26,38,2025-10-27,10
CUST-0019,Mid-Market,AT,Logistik & Transport,48,997.45,11969.4,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2021-07-07,42,2025-06-29,6
CUST-0020,SMB,DE,Außendienst & Vertrieb,4,83.16,997.92,GPS Tracking,1,Vimcar,2022-05-23,31,2025-05-30,5
CUST-0021,Mid-Market,AT,Außendienst & Vertrieb,57,1098.52,13182.24,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-09-17,27,2025-09-27,9
CUST-0022,Mid-Market,DE,Facility Management,75,1295.63,15547.56,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-02-07,35,2025-01-30,1
CUST-0023,SMB,AT,Logistik & Transport,12,249.56,2994.72,GPS Tracking|Digital Logbook,2,New Logo,2023-05-16,19,2025-05-30,5
CUST-0024,SMB,CH,Facility Management,4,81.65,979.8,GPS Tracking,1,Avrios,2022-08-22,28,2025-08-28,8
CUST-0025,Enterprise,DE,Facility Management,324,5143.64,61723.68,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2022-01-01,36,2025-12-26,12
CUST-0026,SMB,DE,Kommunaler Betrieb,9,198.4,2380.8,GPS Tracking|Digital Logbook,2,New Logo,2023-07-22,17,2025-07-29,7
CUST-0027,SMB,DE,Gesundheitswesen,13,295.52,3546.24,GPS Tracking|Digital Logbook,2,Avrios,2022-12-28,24,2025-12-26,12
CUST-0028,SMB,DE,Facility Management,19,404.85,4858.2,GPS Tracking|Digital Logbook,2,Vimcar,2022-05-17,31,2025-05-30,5
CUST-0029,Mid-Market,DE,Gesundheitswesen,35,554.56,6654.72,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-10-04,15,2025-09-27,9
CUST-0030,Mid-Market,DE,Gesundheitswesen,55,1191.09,14293.08,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2023-10-19,14,2025-10-27,10
CUST-0031,Mid-Market,AT,Facility Management,51,863.71,10364.52,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2021-07-13,42,2025-06-29,6
CUST-0032,Mid-Market,DE,Logistik & Transport,27,562.37,6748.44,GPS Tracking|Digital Logbook|Fleet Analytics,3,Optimum Automotive,2023-03-06,22,2025-03-01,2
CUST-0033,SMB,DE,Handwerk & Baugewerbe,11,199.56,2394.72,GPS Tracking|Digital Logbook,2,New Logo,2024-03-17,9,2025-03-31,3
CUST-0034,Enterprise,DE,Handwerk & Baugewerbe,364,5006.03,60072.36,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,New Logo,2024-01-18,11,2025-01-30,1
CUST-0035,SMB,DE,Facility Management,2,47.48,569.76,GPS Tracking,1,Avrios,2022-04-15,33,2025-03-31,3
CUST-0036,Mid-Market,CH,Baugewerbe,32,696.27,8355.24,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-06-03,19,2025-05-30,5
CUST-0037,Mid-Market,AT,Handwerk & Baugewerbe,28,581.13,6973.56,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2022-08-04,29,2025-07-29,7
CUST-0038,Mid-Market,DE,Handwerk & Baugewerbe,30,481.33,5775.96,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2021-09-06,40,2025-08-28,8
CUST-0039,Enterprise,DE,Kommunaler Betrieb,208,2643.83,31725.96,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,Avrios,2020-06-20,55,2025-05-30,5
CUST-0040,Mid-Market,DE,Außendienst & Vertrieb,35,715.04,8580.48,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2022-09-14,27,2025-09-27,9
CUST-0041,Mid-Market,DE,Kommunaler Betrieb,40,840.85,10090.2,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-06-07,31,2025-05-30,5
CUST-0042,SMB,AT,Logistik & Transport,3,72.29,867.48,GPS Tracking,1,New Logo,2024-05-12,7,2025-05-30,5
CUST-0043,SMB,DE,Logistik & Transport,8,165.17,1982.04,GPS Tracking|Digital Logbook,2,Avrios,2024-06-18,6,2025-06-29,6
CUST-0044,SMB,DE,Gesundheitswesen,19,356.26,4275.12,GPS Tracking|Digital Logbook,2,New Logo,2024-11-26,1,2025-11-26,11
CUST-0045,SMB,AT,Facility Management,17,355.51,4266.12,GPS Tracking|Digital Logbook,2,New Logo,2023-08-15,16,2025-08-28,8
CUST-0046,SMB,DE,Gesundheitswesen,16,299.39,3592.68,GPS Tracking|Digital Logbook,2,New Logo,2023-08-11,16,2025-08-28,8
CUST-0047,SMB,DE,Kommunaler Betrieb,20,492.24,5906.88,GPS Tracking|Digital Logbook,2,New Logo,2023-10-23,14,2025-10-27,10
CUST-0048,SMB,DE,Handwerk & Baugewerbe,9,220.29,2643.48,GPS Tracking|Digital Logbook,2,New Logo,2023-06-06,19,2025-05-30,5
CUST-0049,Mid-Market,DE,Kommunaler Betrieb,24,387.88,4654.56,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-02-11,22,2025-03-01,2
CUST-0050,SMB,CH,Baugewerbe,11,246.31,2955.72,GPS Tracking|Digital Logbook,2,Optimum Automotive,2022-04-17,32,2025-04-30,4
CUST-0051,SMB,CH,Logistik & Transport,10,230.05,2760.6,GPS Tracking|Digital Logbook,2,Avrios,2022-02-24,34,2025-03-01,2
CUST-0052,SMB,DE,Logistik & Transport,15,380.18,4562.16,GPS Tracking|Digital Logbook,2,Vimcar,2023-07-08,18,2025-06-29,6
CUST-0053,SMB,AT,Facility Management,20,477.42,5729.04,GPS Tracking|Digital Logbook,2,New Logo,2024-10-20,2,2025-10-27,10
CUST-0054,Enterprise,DE,Außendienst & Vertrieb,376,4602.76,55233.12,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,Vimcar,2020-07-07,54,2025-06-29,6
CUST-0055,Mid-Market,DE,Außendienst & Vertrieb,79,1338.82,16065.84,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2021-07-22,41,2025-07-29,7
CUST-0056,Mid-Market,DE,Gesundheitswesen,26,475.54,5706.48,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-07-19,29,2025-07-29,7
CUST-0057,SMB,DE,Außendienst & Vertrieb,5,132.89,1594.68,GPS Tracking|Digital Logbook,2,New Logo,2023-01-26,23,2025-01-30,1
CUST-0058,Mid-Market,CH,Logistik & Transport,39,765.89,9190.68,GPS Tracking|Digital Logbook|Fleet Analytics,3,Optimum Automotive,2022-08-04,29,2025-07-29,7
CUST-0059,SMB,AT,Außendienst & Vertrieb,16,302.09,3625.08,GPS Tracking|Digital Logbook,2,New Logo,2023-07-04,18,2025-06-29,6
CUST-0060,SMB,CH,Baugewerbe,18,472.49,5669.88,GPS Tracking|Digital Logbook,2,New Logo,2024-11-29,1,2025-11-26,11
CUST-0061,Enterprise,CH,Baugewerbe,292,3598.97,43187.64,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,Avrios,2021-11-06,38,2025-10-27,10
CUST-0062,Mid-Market,DE,Facility Management,69,1059.93,12719.16,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-05-05,20,2025-04-30,4
CUST-0063,Mid-Market,DE,Gesundheitswesen,49,1037.13,12445.56,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-02-13,35,2025-01-30,1
CUST-0064,Mid-Market,DE,Handwerk & Baugewerbe,59,1215.12,14581.44,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-12-13,12,2025-12-26,12
CUST-0065,Mid-Market,AT,Handwerk & Baugewerbe,56,999.93,11999.16,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-07-30,17,2025-07-29,7
CUST-0066,Mid-Market,CH,Baugewerbe,50,1081.47,12977.64,GPS Tracking|Digital Logbook|Fleet Analytics,3,Optimum Automotive,2021-03-16,46,2025-03-01,2
CUST-0067,SMB,DE,Außendienst & Vertrieb,11,253.98,3047.76,GPS Tracking|Digital Logbook,2,New Logo,2023-05-22,19,2025-05-30,5
CUST-0068,SMB,DE,Kommunaler Betrieb,17,347.43,4169.16,GPS Tracking|Digital Logbook,2,New Logo,2024-02-09,10,2025-03-01,2
CUST-0069,SMB,DE,Facility Management,18,458.33,5499.96,GPS Tracking|Digital Logbook,2,New Logo,2024-02-26,10,2025-03-01,2
CUST-0070,SMB,CH,Logistik & Transport,15,320.98,3851.76,GPS Tracking|Digital Logbook,2,Vimcar,2022-01-27,35,2025-01-30,1
