month,starting_mrr,churned_mrr,contracted_mrr,expanded_mrr,retained_mrr,ending_mrr,grr,nrr,customers_churned,customers_expanded
2024-03-01,217241.58,0.0,1105.86,3855.59,184343.84,219991.31,0.9949,1.0127,0,33
2024-04-01,219991.31,0.0,334.09,4884.37,182972.54,224541.59,0.9985,1.0207,0,38
2024-05-01,224541.59,0.0,923.36,2562.76,203173.43,226180.99,0.9959,1.0073,0,30
2024-06-01,226180.99,0.0,637.09,4525.5,192903.47,230069.4,0.9972,1.0172,0,26
2024-07-01,230069.4,0.0,2228.74,3118.07,201756.28,230958.73,0.9903,1.0039,0,32
2024-08-01,230958.73,144.83,943.59,3836.66,203184.44,233706.97,0.9953,1.0119,1,25
2024-09-01,233706.97,216.18,533.87,2980.65,211687.56,235937.57,0.9968,1.0095,1,23
2024-10-01,235937.57,0.0,1274.27,3833.18,205163.55,238496.48,0.9946,1.0108,0,34
2024-11-01,238496.48,283.33,1191.39,3589.95,209500.21,240611.71,0.9938,1.0089,1,23
2024-12-01,240611.71,0.0,1087.94,3344.68,217498.57,242868.45,0.9955,1.0094,0,26
