customer_id,segment,country,legacy_system,vehicle_count,mrr,arr,health_score,health_tier,renewal_risk,months_to_renewal,renewal_date,renewal_probability,expected_renewal_arr,arr_at_risk,expansion_potential_arr,gps_adoption_pct,days_since_last_login,open_support_tickets,csat_score,qbr_completed_this_quarter,recommended_intervention
CUST-0195,SMB,CH,Vimcar,12,310.97,3731.64,37.6,Red,Critical,2,2025-03-01,0.3,1119.49,2612.15,0.0,56.0,61,2,2.9,0,Executive Escalation + Emergency EBR
CUST-0161,SMB,AT,New Logo,10,199.73,2396.76,37.6,Red,Critical,1,2025-01-30,0.3,719.03,1677.73,0.0,49.9,50,2,2.1,0,Executive Escalation + Emergency EBR
CUST-0229,SMB,CH,New Logo,4,104.42,1253.04,26.9,Red,Critical,2,2025-03-01,0.3,375.91,877.13,0.0,22.1,33,0,2.4,0,Executive Escalation + Emergency EBR
CUST-0107,SMB,CH,New Logo,3,82.39,988.68,38.4,Red,Critical,3,2025-03-31,0.3,296.6,692.08,0.0,22.7,2,3,3.1,0,Executive Escalation + Emergency EBR
CUST-0096,SMB,CH,Vimcar,3,71.39,856.68,19.8,Red,Critical,3,2025-03-31,0.3,257.0,599.68,0.0,23.1,58,8,2.4,0,Executive Escalation + Emergency EBR
CUST-0074,SMB,CH,Optimum Automotive,3,63.55,762.6,24.8,Red,Critical,3,2025-03-31,0.3,228.78,533.82,0.0,33.2,120,3,1.5,0,Executive Escalation + Emergency EBR
CUST-0035,SMB,DE,Avrios,2,47.48,569.76,28.4,Red,Critical,3,2025-03-31,0.3,170.93,398.83,0.0,50.0,120,3,2.8,0,Executive Escalation + Emergency EBR
CUST-0141,SMB,CH,New Logo,2,39.63,475.56,18.3,Red,Critical,2,2025-03-01,0.3,142.67,332.89,0.0,28.1,120,5,1.9,0,Executive Escalation + Emergency EBR
CUST-0201,Enterprise,CH,New Logo,154,2117.14,25405.68,36.2,Red,High,9,2025-09-27,0.55,13973.12,11432.56,0.0,54.6,32,4,2.1,0,CSM-led QBR + Executive Sponsor Outreach
CUST-0126,SMB,DE,New Logo,20,469.67,5636.04,62.4,Amber,High,1,2025-01-30,0.55,3099.82,2536.22,0.0,59.0,9,0,4.0,0,CSM-led Health Review + Product Training
CUST-0086,SMB,CH,Optimum Automotive,17,461.18,5534.16,47.3,Amber,High,2,2025-03-01,0.55,3043.79,2490.37,0.0,62.6,120,1,3.4,0,CSM-led Health Review + Product Training
CUST-0069,SMB,DE,New Logo,18,458.33,5499.96,54.3,Amber,High,2,2025-03-01,0.55,3024.98,2474.98,0.0,71.1,103,0,3.5,0,CSM-led Health Review + Product Training
